grupo,clave,valor,etiqueta,descripcion_es,enlace_wiki
Servicios y equipamientos,amenity,clinic,amenity=clinic,Clínica,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dclinic
Servicios y equipamientos,amenity,doctors,amenity=doctors,Consultorio médico,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Ddoctors
Servicios y equipamientos,amenity,dentist,amenity=dentist,Odontología,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Ddentist
Servicios y equipamientos,amenity,veterinary,amenity=veterinary,Veterinaria,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dveterinary
Servicios y equipamientos,amenity,nursing_home,amenity=nursing_home,Hogar de ancianos,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dnursing_home
Servicios y equipamientos,amenity,social_facility,amenity=social_facility,Centro de asistencia social,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dsocial_facility
Servicios y equipamientos,amenity,childcare,amenity=childcare,Guardería / cuidado infantil,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dchildcare
Servicios y equipamientos,amenity,kindergarten,amenity=kindergarten,Kínder / preescolar,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dkindergarten
Servicios y equipamientos,amenity,school,amenity=school,Escuela / colegio,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dschool
Servicios y equipamientos,amenity,college,amenity=college,Instituto técnico / educación superior no universitaria,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dcollege
Servicios y equipamientos,amenity,university,amenity=university,Universidad,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Duniversity
Servicios y equipamientos,amenity,language_school,amenity=language_school,Academia de idiomas,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dlanguage_school
Servicios y equipamientos,amenity,driving_school,amenity=driving_school,Escuela de manejo,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Ddriving_school
Servicios y equipamientos,amenity,music_school,amenity=music_school,Escuela de música,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dmusic_school
Servicios y equipamientos,amenity,training,amenity=training,Centro de capacitación,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dtraining
Servicios y equipamientos,amenity,library,amenity=library,Biblioteca,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dlibrary
Servicios y equipamientos,amenity,research_institute,amenity=research_institute,Instituto de investigación,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dresearch_institute
Servicios y equipamientos,amenity,fuel,amenity=fuel,Gasolinera,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dfuel
Servicios y equipamientos,amenity,charging_station,amenity=charging_station,Estación de carga para vehículos eléctricos,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dcharging_station
Servicios y equipamientos,amenity,parking,amenity=parking,Estacionamiento,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dparking
Servicios y equipamientos,amenity,parking_entrance,amenity=parking_entrance,Entrada a estacionamiento,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dparking_entrance
Servicios y equipamientos,amenity,parking_space,amenity=parking_space,Plaza de estacionamiento,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dparking_space
Servicios y equipamientos,amenity,bicycle_parking,amenity=bicycle_parking,Estacionamiento de bicicletas,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dbicycle_parking
Servicios y equipamientos,amenity,motorcycle_parking,amenity=motorcycle_parking,Estacionamiento de motos,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dmotorcycle_parking
Servicios y equipamientos,amenity,car_wash,amenity=car_wash,Lavado de autos (car wash),https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dcar_wash
Servicios y equipamientos,amenity,car_rental,amenity=car_rental,Alquiler de autos,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dcar_rental
Servicios y equipamientos,amenity,car_sharing,amenity=car_sharing,Auto compartido,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dcar_sharing
Servicios y equipamientos,amenity,taxi,amenity=taxi,Parada de taxis,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dtaxi
Servicios y equipamientos,amenity,bus_station,amenity=bus_station,Terminal de buses,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dbus_station
Servicios y equipamientos,amenity,ferry_terminal,amenity=ferry_terminal,Terminal de ferry,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dferry_terminal
Servicios y equipamientos,amenity,boat_rental,amenity=boat_rental,Alquiler de lanchas,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dboat_rental
Servicios y equipamientos,amenity,place_of_worship,amenity=place_of_worship,"Lugar de culto (iglesia, templo, mezquita...)",https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dplace_of_worship
Servicios y equipamientos,amenity,monastery,amenity=monastery,Monasterio / convento,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dmonastery
Servicios y equipamientos,amenity,community_centre,amenity=community_centre,Casa comunal / centro comunitario,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dcommunity_centre
Servicios y equipamientos,amenity,social_centre,amenity=social_centre,Centro social,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dsocial_centre
Servicios y equipamientos,amenity,townhall,amenity=townhall,Alcaldía / ayuntamiento,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dtownhall
Servicios y equipamientos,amenity,police,amenity=police,Policía,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dpolice
Servicios y equipamientos,amenity,fire_station,amenity=fire_station,Estación de bomberos,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dfire_station
Servicios y equipamientos,amenity,post_office,amenity=post_office,Oficina de correos,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dpost_office
Servicios y equipamientos,amenity,post_box,amenity=post_box,Buzón,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dpost_box
Servicios y equipamientos,amenity,post_depot,amenity=post_depot,Centro de distribución postal,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dpost_depot
Servicios y equipamientos,amenity,courthouse,amenity=courthouse,Juzgado / tribunal,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dcourthouse
Servicios y equipamientos,amenity,prison,amenity=prison,Centro penal / prisión,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dprison
Servicios y equipamientos,amenity,embassy,amenity=embassy,"Embajada (obsoleto, ver diplomatic)",https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dembassy
Servicios y equipamientos,amenity,public_building,amenity=public_building,Edificio público (obsoleto),https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dpublic_building
Servicios y equipamientos,amenity,ranger_station,amenity=ranger_station,Puesto de guardaparques,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dranger_station
Servicios y equipamientos,amenity,marketplace,amenity=marketplace,Mercado,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dmarketplace
Servicios y equipamientos,amenity,cinema,amenity=cinema,Cine,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dcinema
Servicios y equipamientos,amenity,theatre,amenity=theatre,Teatro,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dtheatre
Servicios y equipamientos,amenity,nightclub,amenity=nightclub,Discoteca,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dnightclub
Servicios y equipamientos,amenity,casino,amenity=casino,Casino,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dcasino
Servicios y equipamientos,amenity,gambling,amenity=gambling,Sala de apuestas,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dgambling
Servicios y equipamientos,amenity,events_venue,amenity=events_venue,Salón de eventos,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Devents_venue
Servicios y equipamientos,amenity,conference_centre,amenity=conference_centre,Centro de convenciones,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dconference_centre
Servicios y equipamientos,amenity,exhibition_centre,amenity=exhibition_centre,Centro de exposiciones,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dexhibition_centre
Servicios y equipamientos,amenity,arts_centre,amenity=arts_centre,Centro cultural / de artes,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Darts_centre
Servicios y equipamientos,amenity,studio,amenity=studio,"Estudio (radio, TV, grabación)",https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dstudio
Servicios y equipamientos,amenity,planetarium,amenity=planetarium,Planetario,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dplanetarium
Servicios y equipamientos,amenity,fountain,amenity=fountain,Fuente ornamental,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dfountain
Servicios y equipamientos,amenity,toilets,amenity=toilets,Baños públicos,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dtoilets
Servicios y equipamientos,amenity,drinking_water,amenity=drinking_water,Agua potable,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Ddrinking_water
Servicios y equipamientos,amenity,water_point,amenity=water_point,Punto de carga de agua,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dwater_point
Servicios y equipamientos,amenity,shower,amenity=shower,Duchas públicas,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dshower
Servicios y equipamientos,amenity,bench,amenity=bench,Banca,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dbench
Servicios y equipamientos,amenity,shelter,amenity=shelter,Refugio / techo,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dshelter
Servicios y equipamientos,amenity,waste_basket,amenity=waste_basket,Basurero,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dwaste_basket
Servicios y equipamientos,amenity,waste_disposal,amenity=waste_disposal,Punto de disposición de basura,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dwaste_disposal
Servicios y equipamientos,amenity,recycling,amenity=recycling,Punto de reciclaje,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Drecycling
Servicios y equipamientos,amenity,telephone,amenity=telephone,Teléfono público,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dtelephone
Servicios y equipamientos,amenity,internet_cafe,amenity=internet_cafe,Ciber / café internet,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dinternet_cafe
Servicios y equipamientos,amenity,coworking_space,amenity=coworking_space,"Espacio de coworking (obsoleto, ver office)",https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dcoworking_space
Servicios y equipamientos,amenity,vending_machine,amenity=vending_machine,Máquina expendedora,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dvending_machine
Servicios y equipamientos,amenity,photo_booth,amenity=photo_booth,Cabina de fotos,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dphoto_booth
Servicios y equipamientos,amenity,lounger,amenity=lounger,Tumbona,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dlounger
Servicios y equipamientos,amenity,grave_yard,amenity=grave_yard,Cementerio pequeño (junto a iglesia),https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dgrave_yard
Servicios y equipamientos,amenity,crematorium,amenity=crematorium,Crematorio,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dcrematorium
Servicios y equipamientos,amenity,funeral_hall,amenity=funeral_hall,Funeraria / sala de velación,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dfuneral_hall
Servicios y equipamientos,amenity,animal_shelter,amenity=animal_shelter,Refugio de animales,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Danimal_shelter
Servicios y equipamientos,amenity,animal_boarding,amenity=animal_boarding,Hospedaje de mascotas,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Danimal_boarding
Servicios y equipamientos,amenity,public_bath,amenity=public_bath,Baños públicos / termas,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dpublic_bath
Servicios y equipamientos,amenity,dojo,amenity=dojo,Dojo / academia de artes marciales,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Ddojo
Servicios y equipamientos,amenity,loading_dock,amenity=loading_dock,Muelle de carga,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dloading_dock
Servicios y equipamientos,amenity,weighbridge,amenity=weighbridge,Báscula para camiones,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dweighbridge
Servicios y equipamientos,amenity,compressed_air,amenity=compressed_air,Aire comprimido,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dcompressed_air
Servicios y equipamientos,amenity,vehicle_inspection,amenity=vehicle_inspection,Revisión técnica vehicular,https://wiki.openstreetmap.org/wiki/Tag:amenity%3Dvehicle_inspection
Comercios y tiendas,shop,supermarket,shop=supermarket,Supermercado,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dsupermarket
Comercios y tiendas,shop,convenience,shop=convenience,Tienda de conveniencia / tienda de barrio,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dconvenience
Comercios y tiendas,shop,mall,shop=mall,Centro comercial,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dmall
Comercios y tiendas,shop,department_store,shop=department_store,Tienda por departamentos,https://wiki.openstreetmap.org/wiki/Tag:shop%3Ddepartment_store
Comercios y tiendas,shop,general,shop=general,Tienda general,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dgeneral
Comercios y tiendas,shop,kiosk,shop=kiosk,Kiosco,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dkiosk
Comercios y tiendas,shop,wholesale,shop=wholesale,Mayorista,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dwholesale
Comercios y tiendas,shop,variety_store,shop=variety_store,Tienda de variedades / todo a un dólar,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dvariety_store
Comercios y tiendas,shop,bakery,shop=bakery,Panadería,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dbakery
Comercios y tiendas,shop,butcher,shop=butcher,Carnicería,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dbutcher
Comercios y tiendas,shop,greengrocer,shop=greengrocer,Frutería y verdulería,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dgreengrocer
Comercios y tiendas,shop,seafood,shop=seafood,Pescadería / mariscos,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dseafood
Comercios y tiendas,shop,deli,shop=deli,Delicatessen,https://wiki.openstreetmap.org/wiki/Tag:shop%3Ddeli
Comercios y tiendas,shop,dairy,shop=dairy,Lácteos,https://wiki.openstreetmap.org/wiki/Tag:shop%3Ddairy
Comercios y tiendas,shop,confectionery,shop=confectionery,Dulcería,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dconfectionery
Comercios y tiendas,shop,pastry,shop=pastry,Pastelería / repostería,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dpastry
Comercios y tiendas,shop,chocolate,shop=chocolate,Chocolatería,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dchocolate
Comercios y tiendas,shop,coffee,shop=coffee,Tienda de café,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dcoffee
Comercios y tiendas,shop,tea,shop=tea,Tienda de té,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dtea
Comercios y tiendas,shop,alcohol,shop=alcohol,Licorería,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dalcohol
Comercios y tiendas,shop,beverages,shop=beverages,Bebidas,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dbeverages
Comercios y tiendas,shop,water,shop=water,Venta de agua purificada,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dwater
Comercios y tiendas,shop,tortilla,shop=tortilla,Tortillería,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dtortilla
Comercios y tiendas,shop,health_food,shop=health_food,Alimentos saludables,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dhealth_food
Comercios y tiendas,shop,spices,shop=spices,Especias,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dspices
Comercios y tiendas,shop,frozen_food,shop=frozen_food,Congelados,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dfrozen_food
Comercios y tiendas,shop,food,shop=food,Alimentos (genérico),https://wiki.openstreetmap.org/wiki/Tag:shop%3Dfood
Comercios y tiendas,shop,clothes,shop=clothes,Ropa,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dclothes
Comercios y tiendas,shop,shoes,shop=shoes,Zapatería,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dshoes
Comercios y tiendas,shop,boutique,shop=boutique,Boutique,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dboutique
Comercios y tiendas,shop,fashion_accessories,shop=fashion_accessories,Accesorios de moda,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dfashion_accessories
Comercios y tiendas,shop,jewelry,shop=jewelry,Joyería,https://wiki.openstreetmap.org/wiki/Tag:shop%3Djewelry
Comercios y tiendas,shop,watches,shop=watches,Relojería,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dwatches
Comercios y tiendas,shop,bag,shop=bag,Bolsos y maletas,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dbag
Comercios y tiendas,shop,fabric,shop=fabric,Telas,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dfabric
Comercios y tiendas,shop,sewing,shop=sewing,Mercería / costura,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dsewing
Comercios y tiendas,shop,tailor,shop=tailor,Sastrería,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dtailor
Comercios y tiendas,shop,leather,shop=leather,Artículos de cuero,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dleather
Comercios y tiendas,shop,baby_goods,shop=baby_goods,Artículos para bebé,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dbaby_goods
Comercios y tiendas,shop,hairdresser,shop=hairdresser,Peluquería / salón de belleza,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dhairdresser
Comercios y tiendas,shop,barber,shop=barber,Barbería (usa hairdresser + male),https://wiki.openstreetmap.org/wiki/Tag:shop%3Dbarber
Comercios y tiendas,shop,beauty,shop=beauty,Centro de estética / uñas / spa,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dbeauty
Comercios y tiendas,shop,cosmetics,shop=cosmetics,Cosméticos,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dcosmetics
Comercios y tiendas,shop,perfumery,shop=perfumery,Perfumería,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dperfumery
Comercios y tiendas,shop,massage,shop=massage,Masajes,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dmassage
Comercios y tiendas,shop,tattoo,shop=tattoo,Tatuajes,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dtattoo
Comercios y tiendas,shop,optician,shop=optician,Óptica,https://wiki.openstreetmap.org/wiki/Tag:shop%3Doptician
Comercios y tiendas,shop,medical_supply,shop=medical_supply,Insumos médicos / ortopedia,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dmedical_supply
Comercios y tiendas,shop,chemist,shop=chemist,Droguería (sin farmacéutico),https://wiki.openstreetmap.org/wiki/Tag:shop%3Dchemist
Comercios y tiendas,shop,hearing_aids,shop=hearing_aids,Audífonos,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dhearing_aids
Comercios y tiendas,shop,nutrition_supplements,shop=nutrition_supplements,Suplementos nutricionales,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dnutrition_supplements
Comercios y tiendas,shop,hardware,shop=hardware,Ferretería,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dhardware
Comercios y tiendas,shop,doityourself,shop=doityourself,Bricolaje / materiales de construcción,https://wiki.openstreetmap.org/wiki/Tag:shop%3Ddoityourself
Comercios y tiendas,shop,paint,shop=paint,Pinturas,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dpaint
Comercios y tiendas,shop,electrical,shop=electrical,Material eléctrico,https://wiki.openstreetmap.org/wiki/Tag:shop%3Delectrical
Comercios y tiendas,shop,trade,shop=trade,Venta a contratistas / materiales,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dtrade
Comercios y tiendas,shop,bathroom_furnishing,shop=bathroom_furnishing,Sanitarios y baños,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dbathroom_furnishing
Comercios y tiendas,shop,flooring,shop=flooring,Pisos,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dflooring
Comercios y tiendas,shop,tiles,shop=tiles,Cerámica y azulejos,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dtiles
Comercios y tiendas,shop,glaziery,shop=glaziery,Vidriería,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dglaziery
Comercios y tiendas,shop,locksmith,shop=locksmith,Cerrajería,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dlocksmith
Comercios y tiendas,shop,security,shop=security,"Seguridad (alarmas, cámaras)",https://wiki.openstreetmap.org/wiki/Tag:shop%3Dsecurity
Comercios y tiendas,shop,furniture,shop=furniture,Mueblería,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dfurniture
Comercios y tiendas,shop,interior_decoration,shop=interior_decoration,Decoración de interiores,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dinterior_decoration
Comercios y tiendas,shop,kitchen,shop=kitchen,Cocinas,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dkitchen
Comercios y tiendas,shop,bed,shop=bed,Camas y colchones,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dbed
Comercios y tiendas,shop,curtain,shop=curtain,Cortinas,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dcurtain
Comercios y tiendas,shop,lighting,shop=lighting,Iluminación / lámparas,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dlighting
Comercios y tiendas,shop,houseware,shop=houseware,Artículos para el hogar,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dhouseware
Comercios y tiendas,shop,appliance,shop=appliance,Electrodomésticos,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dappliance
Comercios y tiendas,shop,electronics,shop=electronics,Electrónica,https://wiki.openstreetmap.org/wiki/Tag:shop%3Delectronics
Comercios y tiendas,shop,computer,shop=computer,Computadoras,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dcomputer
Comercios y tiendas,shop,mobile_phone,shop=mobile_phone,Celulares,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dmobile_phone
Comercios y tiendas,shop,telecommunication,shop=telecommunication,Telecomunicaciones / operador,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dtelecommunication
Comercios y tiendas,shop,hifi,shop=hifi,Equipos de audio,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dhifi
Comercios y tiendas,shop,video,shop=video,Videoclub,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dvideo
Comercios y tiendas,shop,video_games,shop=video_games,Videojuegos,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dvideo_games
Comercios y tiendas,shop,camera,shop=camera,Cámaras fotográficas,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dcamera
Comercios y tiendas,shop,car,shop=car,Venta de autos / concesionario,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dcar
Comercios y tiendas,shop,car_repair,shop=car_repair,Taller mecánico,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dcar_repair
Comercios y tiendas,shop,car_parts,shop=car_parts,Repuestos de autos,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dcar_parts
Comercios y tiendas,shop,tyres,shop=tyres,Llantas,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dtyres
Comercios y tiendas,shop,motorcycle,shop=motorcycle,Motos,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dmotorcycle
Comercios y tiendas,shop,motorcycle_repair,shop=motorcycle_repair,Taller de motos,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dmotorcycle_repair
Comercios y tiendas,shop,bicycle,shop=bicycle,Bicicletas,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dbicycle
Comercios y tiendas,shop,boat,shop=boat,Embarcaciones,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dboat
Comercios y tiendas,shop,truck,shop=truck,Camiones,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dtruck
Comercios y tiendas,shop,books,shop=books,Librería,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dbooks
Comercios y tiendas,shop,stationery,shop=stationery,Papelería,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dstationery
Comercios y tiendas,shop,newsagent,shop=newsagent,Puesto de periódicos,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dnewsagent
Comercios y tiendas,shop,copyshop,shop=copyshop,Fotocopiado / impresiones,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dcopyshop
Comercios y tiendas,shop,gift,shop=gift,Regalos / souvenirs,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dgift
Comercios y tiendas,shop,florist,shop=florist,Floristería,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dflorist
Comercios y tiendas,shop,garden_centre,shop=garden_centre,Vivero / jardinería,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dgarden_centre
Comercios y tiendas,shop,agrarian,shop=agrarian,Agroservicio / insumos agrícolas,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dagrarian
Comercios y tiendas,shop,pet,shop=pet,Mascotas,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dpet
Comercios y tiendas,shop,pet_grooming,shop=pet_grooming,Peluquería canina,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dpet_grooming
Comercios y tiendas,shop,toys,shop=toys,Juguetería,https://wiki.openstreetmap.org/wiki/Tag:shop%3Dtoys
